recoleccion_id,usuario_id,punto_verde_id,fecha_recoleccion,tipo_residuo,peso_kg
1,160,PV008,3/10/2026,Vidrio,3.5
2,148,PV038,7/24/2025,Residuos Organicos,24.81
3,24,PV036,8/19/2025,Capsulas de Café,18.66
4,169,PV043,1/7/2026,Capsulas de Café,30.29
5,60,PV044,12/23/2025,Capsulas de Café,14.14
6,190,PV043,4/18/2026,Chatarra,13.5
7,109,PV003,12/6/2025,Residuos Organicos,27.82
8,172,PV023,7/7/2025,Vidrio,31.8
9,150,PV014,5/29/2026,Carton,4.11
10,144,PV014,12/9/2025,Envases PET,25.78
11,188,PV008,7/30/2025,Madera,33.77
12,130,PV037,2/20/2026,Botellas de Amor,18.67
13,51,PV003,4/29/2026,Papel,11.73
14,23,PV031,5/7/2026,Vidrio,5.84
15,79,PV003,12/14/2025,Chatarra,10.58
16,129,PV016,5/23/2026,Papel,24.76
17,107,PV008,5/31/2026,Aceite Vegetal Usado,25.01
18,164,PV014,2/1/2026,Chatarra,11.23
19,111,PV042,6/4/2026,Residuos Organicos,23.69
20,63,PV018,4/4/2026,Telgopor,22.15
21,137,PV029,12/22/2025,Textiles,14.52
22,154,PV025,12/5/2025,Chatarra,14.92
23,102,PV012,12/19/2025,Papel,30.05
24,132,PV030,9/26/2025,Aceite Vegetal Usado,37.92
25,126,PV008,10/19/2025,Capsulas de Café,13.62
26,113,PV036,5/23/2026,Plastico,26.04
27,115,PV011,5/14/2026,Vidrio,6.08
28,21,PV018,3/14/2026,RAEEs,39.2
29,59,PV016,12/12/2025,Botellas de Amor,29.73
30,188,PV045,8/22/2025,RAEEs,24.4
31,20,PV028,1/3/2026,Residuos Organicos,4.89
32,77,PV041,12/30/2025,Papel,7.7
33,180,PV011,1/9/2026,Telgopor,30.94
34,162,PV002,8/9/2025,RAEEs,37.41
35,62,PV002,2/10/2026,Residuos Organicos,1.77
36,2,PV031,3/6/2026,Papel,11.59
37,148,PV007,5/16/2026,Madera,39.4
38,138,PV044,4/6/2026,Botellas de Amor,1.31
39,165,PV003,10/31/2025,Chatarra,0.62
40,81,PV010,5/7/2026,Residuos Organicos,17.79
41,174,PV033,4/13/2026,Capsulas de Café,25.3
42,162,PV042,4/22/2026,Textiles,24.13
43,11,PV041,10/7/2025,Residuos Organicos,32.05
44,108,PV020,3/16/2026,Papel,22.71
45,121,PV019,12/7/2025,Plastico,7.47
46,107,PV040,4/5/2026,Aceite Vegetal Usado,21.8
47,153,PV013,8/26/2025,Botellas de Amor,9.6
48,168,PV032,11/1/2025,Residuos Organicos,32.31
49,171,PV029,4/23/2026,Envases PET,32.12
50,156,PV030,12/29/2025,Papel,5.45
51,135,PV024,3/5/2026,Botellas de Amor,33.86
52,58,PV044,11/1/2025,Madera,0.94
53,197,PV008,4/16/2026,Papel,24.36
54,15,PV032,12/2/2025,Latas,34.35
55,96,PV002,5/8/2026,Metal,11.53
56,38,PV014,7/22/2025,Vidrio,21.69
57,190,PV006,11/7/2025,Aceite Vegetal Usado,10.55
58,111,PV011,9/17/2025,Madera,5.18
59,170,PV008,10/8/2025,Telgopor,6.58
60,181,PV037,3/17/2026,Envases PET,10.38
61,50,PV023,12/8/2025,Papel,14.03
62,16,PV003,8/14/2025,Metal,20.89
63,99,PV008,3/18/2026,Metal,31.83
64,93,PV018,9/20/2025,Envases PET,16.89
65,139,PV035,8/1/2025,Chatarra,7.63
66,4,PV011,3/20/2026,Residuos Organicos,37.27
67,135,PV039,2/15/2026,Residuos Organicos,33.76
68,114,PV043,12/4/2025,Carton,8.91
69,120,PV017,11/20/2025,Textiles,12.97
70,10,PV031,12/11/2025,Envases PET,11.24
71,127,PV023,7/15/2025,Residuos Organicos,21.05
72,39,PV029,4/19/2026,Textiles,20.59
73,119,PV002,5/25/2026,Residuos Organicos,29.15
74,111,PV008,3/20/2026,Carton,30.92
75,47,PV032,5/11/2026,Metal,37.61
76,17,PV015,6/6/2026,Madera,11.37
77,198,PV006,6/3/2026,Chatarra,18.69
78,191,PV040,11/20/2025,Botellas de Amor,35.46
79,148,PV041,3/8/2026,Vidrio,16.7
80,19,PV033,3/4/2026,Metal,15.14
81,23,PV030,6/1/2026,Residuos Organicos,2.91
82,193,PV022,4/1/2026,Metal,2.56
83,16,PV008,7/19/2025,Papel,37.97
84,36,PV034,11/27/2025,Capsulas de Café,16.37
85,100,PV007,12/3/2025,Botellas de Amor,34.12
86,111,PV031,12/19/2025,RAEEs,27.48
87,20,PV008,9/9/2025,Textiles,24.68
88,5,PV019,4/15/2026,Plastico,17.44
89,118,PV009,12/3/2025,Madera,1.35
90,95,PV027,5/2/2026,Telgopor,33.99
91,25,PV002,12/15/2025,Aceite Vegetal Usado,2.01
92,183,PV024,8/2/2025,RAEEs,33.18
93,41,PV034,4/10/2026,Aceite Vegetal Usado,21.59
94,122,PV009,3/3/2026,Textiles,26.68
95,57,PV020,8/1/2025,Residuos Organicos,1.1
96,5,PV032,1/26/2026,Capsulas de Café,14.78
